App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Sparbanken Syd,dk.sdc.a.mobilbank.sparbankensyd,Finance,2.3,225,"10,000+",10000,21054,TRUE,0,USD,16M,5.0 and up,Powered by SDC A/S,http://www.sparbankensyd.se,info@sparbankensyd.se,"Jul 18, 2011","Feb 16, 2021",Everyone,http://www.sdc.dk/betingelser/betingelser_en,TRUE,FALSE,FALSE,16-06-2021 02:48
Oasis,com.masociete.oasis,Business,0,0,1+,1,3,TRUE,0,USD,56M,5.0 and up,NeridaAveis,,contact@aveis.net,,"Jun 11, 2020",Everyone,https://blog.goodbarber.com/docs/Privacypolicy/PrivacyPolicy.pdf,FALSE,FALSE,FALSE,16-06-2021 02:48
pup,com.theescapers.petcoinx,Lifestyle,0,0,5+,5,5,TRUE,0,USD,41M,5.0 and up,The Escapers,http://pupx.io,gt@theescapers.com,"Nov 13, 2019","Nov 14, 2019",Everyone,https://theescapers.com/privacy/,FALSE,FALSE,FALSE,16-06-2021 02:48
Pistolet Colt 1911A1 expliqué,com.hlebooks.colt1911A1FR,Books & Reference,0,0,10+,10,11,FALSE,4.99,USD,7.7M,1.6 and up,Gerard Henrotin - HLebooks.com,http://hlebooks.com,hl-ebooks@skynet.be,"Apr 26, 2016","Apr 26, 2016",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:48
AgWeatherNet Heat Stress,agweathernet.weather.wsu.edu.heatstress.app,Weather,0,0,10+,10,27,TRUE,0,USD,1.7M,4.0 and up,WSU AgWeatherNet,http://weather.wsu.edu,wsuagweathernet@gmail.com,"Apr 24, 2019","Apr 24, 2019",Everyone,https://docs.google.com/document/d/e/2PACX-1vQ66VrFOmM_vn6LZu_tFd5KFRA9opFhm41qFVOOIxBN3QbMLSgR_5dM2E60bFv0fFP_8S3DXfVPuoPE/pub,FALSE,FALSE,FALSE,16-06-2021 02:48
New Year 2020 Clock Live Wallpaper,com.roboxy.newyearclocklivewallpaper,Personalization,0,0,"5,000+",5000,7309,TRUE,0,USD,8.4M,4.0 and up,Roboxy Apps Desk,,roboxyapps05@gmail.com,"Nov 25, 2018","Feb 18, 2020",Teen,http://www.newyear2019clocklivewallpaper.com,TRUE,FALSE,FALSE,16-06-2021 02:48
"Tántiào: Share, Learn, Teach... Group podcasting!",app.tantiao,Communication,0,0,1+,1,4,TRUE,0,USD,Varies with device,5.0 and up,Tántiào Inc.,https://tantiao.app,tantiaoapp@gmail.com,"Jan 24, 2020","Jan 24, 2020",Everyone,https://tantiao.app/privacy.html,FALSE,FALSE,FALSE,16-06-2021 02:48
AFRI4,com.icreo.afri4,Music & Audio,4.9,18,"1,000+",1000,1395,TRUE,0,USD,Varies with device,Varies with device,RadioKing,https://www.radioking.com,mobile@radioking.com,"Aug 20, 2018","Sep 19, 2019",Everyone,https://www.radioking.com/privacy-policy,TRUE,FALSE,FALSE,16-06-2021 02:48
LaserGame Evolution,com.genlog.lasergameevolution,Entertainment,3.9,45,"1,000+",1000,2105,TRUE,0,USD,66M,5.0 and up,GenLog,http://www.genlog.fr,contact@genlog.fr,"May 28, 2013","Oct 02, 2020",Everyone,http://www.lasergame-evolution.com/cgu,FALSE,FALSE,FALSE,16-06-2021 02:48
SXM Online Radio - Canada,com.cpexam.ej.android,Entertainment,3.4,5,500+,500,602,TRUE,0,USD,24M,5.1 and up,Kasmi net,,patriciamadriz64@gmail.com,"Jun 25, 2020","Dec 30, 2020",Everyone,https://madrizweb.blogspot.com/2020/05/privacy-policy.html,FALSE,FALSE,FALSE,16-06-2021 02:48
USA News,com.newsinternet.usanewstoday,News & Magazines,4.3,9,100+,100,380,TRUE,0,USD,3.3M,4.0.3 and up,News Internet Limited,,newsinternetlimited@gmail.com,"Jun 3, 2017","Jun 03, 2017",Everyone,https://www.freeprivacypolicy.com/privacy/view/d3a2239c799392ae89a765f27927feba,TRUE,FALSE,FALSE,16-06-2021 02:48
Black Industry,com.mspe.BlackIndustry.BlackIndustry,Shopping,0,0,100+,100,189,TRUE,0,USD,33M,4.1 and up,eFolix SARL,,gb@efolix.com,"Dec 3, 2019","Oct 26, 2020",Everyone,http://www.efolix.com/privacy_declaration/,FALSE,FALSE,FALSE,16-06-2021 02:48
ACTIV RDV,com.activ.rdv,Productivity,0,0,100+,100,110,TRUE,0,USD,5.3M,4.4 and up,Fabien Henon,https://activrdv.fr,fabien@activrdv.fr,"Oct 18, 2018","Oct 20, 2020",Everyone,https://www.activrdv.fr/donn%C3%A9es/,FALSE,FALSE,FALSE,16-06-2021 02:48
Apotheosis,phaethon.apotheosis.tropaion,Productivity,0,0,10+,10,14,TRUE,0,USD,1.8M,5.0 and up,Apotheosis OÜ,https://apotheosis.app,PublicRelations@apotheosis.app,,"Aug 09, 2019",Everyone,https://apotheosis.app/privacy,FALSE,FALSE,FALSE,16-06-2021 02:48
Spider-Watch,com.sweetlime.spiderwatch,Personalization,4.2,15,"1,000+",1000,1011,TRUE,0,USD,5.0M,4.3 and up,Sweet Lime Apps,http://www.sweet-lime.net,contact@sweet-lime.net,"Mar 30, 2015","May 02, 2016",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:48
SLIDE Agent,com.iapps.slide.agentapp.idn,Finance,3.7,33,"1,000+",1000,1967,TRUE,0,USD,16M,4.0 and up,iAPPS Pte Ltd,http://slide.sg,help@slide.sg,"Jun 14, 2016","Feb 24, 2021",Everyone,Http://slide.sg/privacy,FALSE,FALSE,FALSE,16-06-2021 02:48
Qt3a Vendor,uae.carserviceprovider.qet3a,Auto & Vehicles,0,0,10+,10,17,TRUE,0,USD,16M,4.4 and up,Saeed Ali,http://qt3a-app.com/,info@ferma.ae,"Sep 15, 2020","Mar 23, 2021",Everyone,http://qt3a-app.com/privacy.html,FALSE,FALSE,FALSE,16-06-2021 02:48
Sant Vicenç Horts Security,com.einsmer.securityapp_santvicenchorts,Health & Fitness,3.5,13,"1,000+",1000,1197,TRUE,0,USD,20M,6.0 and up,EINSMER,https://www.m7citizensecurity.com,cc@europeinyourlife.com,"Oct 16, 2015","May 03, 2021",Everyone,https://m7citizensecurity.com/policy/privacidad_es.html,FALSE,FALSE,FALSE,16-06-2021 02:48
Feedlot Profit and Loss Calculator,com.trevorwiebe.profitandloss,Tools,0,0,50+,50,56,TRUE,0,USD,3.2M,4.1 and up,Trevor Wiebe,,thisistrevor4@gmail.com,"Jun 11, 2019","Apr 04, 2020",Everyone,https://profit-and-loss-calculator.firebaseapp.com/privacy_policy.html,TRUE,FALSE,FALSE,16-06-2021 02:48
How to Draw: Doctors & Toolkit,com.newsense.howtodrawdoctorsandtools,Education,0,0,100+,100,421,TRUE,0,USD,2.6M,2.3 and up,NEWSENSE,,newsenseapps@gmail.com,"Oct 9, 2014","May 04, 2019",Everyone,https://docs.google.com/document/d/1XhmhpqRcAP6R_NAaEepYZRJbCrfA07t7orYrM1dPgoQ/edit?usp=sharing,TRUE,FALSE,FALSE,16-06-2021 02:48
The Pet Stop,store.thepetstop.pet_stop,Shopping,0,0,50+,50,74,TRUE,0,USD,18M,4.1 and up,ThePetStop.store,http://thepetstop.store,thepetscontrol@gmail.com,"Jul 6, 2019","Sep 11, 2019",Everyone,http://thepetstop.store/en/page/12/privacy-policy,FALSE,FALSE,FALSE,16-06-2021 02:48
kushvivah - Matrimonial App,com.pawankush.kushvivah,Social,0,0,100+,100,210,TRUE,0,USD,6.5M,4.3 and up,KushPawan,,kushpawan91@gmail.com,"Nov 20, 2018","Dec 26, 2018",Teen,https://sites.google.com/view/kushvivah,FALSE,FALSE,FALSE,16-06-2021 02:48
サーバルじゃんぷ〜アニメ「けものフレンズ」の二次創作ゲーム,jp.vgame.sarval,Action,4.4,952,"50,000+",50000,59031,TRUE,0,USD,37M,4.0 and up,ofuji-labo,http://moe.vc/,gamedev68@gmail.com,"Mar 25, 2017","May 23, 2017",Everyone,http://moe.vc/pp/,TRUE,FALSE,FALSE,16-06-2021 02:48
İnternetsiz Özel Beslenme Tarifleri,internetsiz.ozelbeslenme.tarifleri,Books & Reference,0,0,100+,100,158,TRUE,0,USD,11M,4.4 and up,Kiwizilla Lab,,kiwizillalab@gmail.com,"May 30, 2019","May 30, 2019",Everyone,https://docs.google.com/document/d/e/2PACX-1vQYaLWNWOZt06noZ5Qgi4cRJ0tjt2yAZDnJzgArmHeDU0i_JfF_LZ09rQkUTsZOT9qLM7DqcEjH0wKJ/pub,TRUE,FALSE,FALSE,16-06-2021 02:48
Instant Loan Approval Guide,apps.loan.instantcashloans,Finance,4,98,"50,000+",50000,92911,TRUE,0,USD,5.5M,4.4 and up,Shape Infotech,http://istory.prevony.com/,shapeinfotech007@gmail.com,"Jul 29, 2020","Jun 07, 2021",Everyone,https://sites.google.com/view/deltaspinprivacy,TRUE,FALSE,FALSE,16-06-2021 02:48
ARATAG,com.pangea.aratag,Education,2.6,42,"10,000+",10000,20094,TRUE,0,USD,34M,5.0 and up,Pangea Rocks,http://aratag.com,aratag@pangea.dk,"Oct 15, 2018","Feb 18, 2020",Everyone,https://aratag.com/privacy-policy/,FALSE,FALSE,FALSE,16-06-2021 02:48
하나통상,com.makeshop.powerapp.hanabeans,Shopping,0,0,100+,100,140,TRUE,0,USD,3.8M,4.0.3 and up,POWErMOBILE.KR,http://www.hanabeans.co.kr,koreacenterpowerapp16@gmail.com,"May 26, 2019","Oct 10, 2020",Everyone,http://www.hanabeans.co.kr/m/privacy.html,FALSE,FALSE,FALSE,16-06-2021 02:48
Srimad Bhagvad Gita,com.hbajaj.bhagavadgita,Books & Reference,4.8,53,"1,000+",1000,2443,TRUE,0,USD,1.8M,4.1 and up,Harvinder Bajaj,http://www.hbajaj.com,harvinderbajaj11@gmail.com,"Sep 14, 2015","Mar 13, 2019",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:48
EHC Virtual Conference 2020,com.crowdcomms.ehcc2020,Books & Reference,0,0,50+,50,73,TRUE,0,USD,5.8M,5.0 and up,European Haemophilia Consortium,https://venuesworld.com/contact-us/,info@venuesworld.com,"Sep 23, 2020","Sep 23, 2020",Everyone,https://www.crowdcomms.com/privacy-policy,FALSE,FALSE,FALSE,16-06-2021 02:48
Ребусы - Угадай слово,com.zeduga.ugadaislovorebusy,Word,4.6,175,"10,000+",10000,14272,TRUE,0,USD,18M,4.0.3 and up,Zeduga,,zeduga@zeduga.com,"Jan 26, 2017","Apr 28, 2018",Everyone,https://quickappninja.com/game-privacy-policy.html,TRUE,FALSE,FALSE,16-06-2021 02:48
Through battle: the motorbike challenge,com.IDDE.Throughbattle,Arcade,4.8,8,50+,50,88,TRUE,0,USD,47M,5.0 and up,IDDE,,falgard-game@yandex.ru,"Mar 10, 2020","May 16, 2021",Everyone,https://www.freeprivacypolicy.com/privacy/view/b37123a1ad0b0444fc6ed593a450bebd,TRUE,FALSE,FALSE,16-06-2021 02:48
Mexican Wrecking Ball: Destroy the Trump Wall,com.mg.mexicanwreckingballdestroythetrumpwall,Simulation,4.1,69,"10,000+",10000,31029,TRUE,0,USD,46M,4.0 and up,MobileGames,http://mobilegames.company,mobilegamesbv@gmail.com,"Jul 21, 2017","Jul 21, 2017",Everyone,http://www.vascogames.com/about-us/vasco-games-privacy-policy/,TRUE,FALSE,FALSE,16-06-2021 02:48
"GStep: Pedometer, Step Counter, Running Tracker",com.pedometer.stepcounter.tracker,Health & Fitness,4.6,135490,"5,000,000+",5000000,5542579,TRUE,0,USD,18M,4.4 and up,GStep: Green Health Care,https://gstep.fit,support@gstep.app,"Jan 21, 2019","May 30, 2021",Everyone,http://bit.ly/2MmIzri,TRUE,TRUE,FALSE,16-06-2021 02:48
Aplikasi berita dan profil fakultas saintek,com.fald.beritasainstek,News & Magazines,0,0,10+,10,49,TRUE,0,USD,2.0M,4.1 and up,LABKOMIF UIN Bandung,http://www.uinsgd.ac.id/home,lc.saintek.uinsgdbdg@gmail.com,"Jan 12, 2018","Jan 12, 2018",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:48
Poznań Pride,pl.stonewall.gsmap.pp,Lifestyle,4.7,40,"1,000+",1000,1704,TRUE,0,USD,24M,4.1 and up,Grupa Stonewall,https://poznanprideweek.pl/,kontakt@grupa-stonewall.pl,"Aug 8, 2018","Jun 26, 2019",Mature 17+,https://grupa-stonewall.pl/polityka-prywatnosci/,FALSE,FALSE,FALSE,16-06-2021 02:48
DHL LATAM eSHOP,com.linkcommerce.latam,Shopping,3.4,329,"100,000+",100000,116014,TRUE,0,USD,55M,5.0 and up,Link Commerce Ltd,https://latameshop.dhl.com/,cs@latam-eshop.com,"Jul 22, 2020","Jun 11, 2021",Everyone,https://latameshop.dhl.com/privacy-policy,FALSE,FALSE,FALSE,16-06-2021 02:48
Masser Mobile Caliper,net.hoyry.masser.masser,Tools,4.8,6,500+,500,735,TRUE,0,USD,3.6M,4.3 and up,Masser,http://www.masser.fi/,masser@masser.fi,"Aug 28, 2016","Aug 29, 2016",Everyone,https://www.masser.fi/privacy-policy/,FALSE,FALSE,FALSE,16-06-2021 02:48
Learn Korean for English Speakers,learn.korean.english.speakers.threeemobile,Education,0,0,10+,10,40,TRUE,0,USD,4.8M,4.4 and up,3E Mobile - AU,,dan.3e.mobile@gmail.com,"Feb 10, 2020","Feb 13, 2020",Everyone,https://sites.google.com/view/learn-korean-english-speakers/privacy-policy,TRUE,TRUE,FALSE,16-06-2021 02:48
فقه العشائر,com.my.fakh.alashaar313.a313,Books & Reference,3.9,7,"1,000+",1000,1495,TRUE,0,USD,393k,4.0 and up,Mostafa Abbas,https://mostafa-mfaz.blogspot.com,mostafasadry851@gmail.com,"Apr 30, 2020","Sep 11, 2020",Teen,https://sites.google.com/view/mostafa-abbas/,FALSE,FALSE,FALSE,16-06-2021 02:48
Hari Vidya Bhawan,app.eskoool.harividya,Education,3.8,177,"5,000+",5000,5522,TRUE,0,USD,13M,4.4 and up,LK Infotech,http://www.lkinfotech.in,info@lkinfotech.in,"Jun 26, 2018","Aug 17, 2020",Everyone,http://www.eskoool.com/privacy-policy.html,FALSE,FALSE,FALSE,16-06-2021 02:48
Calculator,com.clockulator,Tools,0,0,10+,10,15,TRUE,0,USD,7.2M,4.1 and up,Felix Savchenkov,,f1e2l3i4x5@mail.ru,"Mar 21, 2018","Mar 21, 2018",Everyone,https://www.ggvaza.ru/UPLOADS/privacyPolicy/privacy_policy.html,FALSE,FALSE,FALSE,16-06-2021 02:48
Candela Tv,questreaming.com.candelatv,Video Players & Editors,0,0,100+,100,174,TRUE,0,USD,2.7M,4.0.3 and up,Que Streaming / Android,https://www.questreaming.com,ventas@questreaming.com,"Aug 2, 2018","Aug 02, 2018",Everyone,https://questreaming.com/privacypolicy.html,FALSE,FALSE,FALSE,16-06-2021 02:48
SCAC,com.kitapps.android.builder.scacannualconferenceinstituteofgovernmentforcountyofficials,Business,0,0,100+,100,148,TRUE,0,USD,12M,5.0 and up,"KitApps, Inc.",http://www.attendify.com,info@attendify.com,"May 22, 2014","Jun 16, 2020",Teen,https://attendify.com/privacy,FALSE,FALSE,FALSE,16-06-2021 02:48
Domácí kuchařka,cz.kle.domacikucharka,Food & Drink,4.5,13,"1,000+",1000,2182,TRUE,0,USD,1.8M,5.0 and up,Petr Kletečka,https://kle.cz/domaci-kucharka/,petr@kle.cz,"Mar 8, 2019","Jun 03, 2020",Everyone,https://github.com/petrkle/domaci-kucharka/blob/master/README.md#ochrana-soukrom%C3%AD,FALSE,FALSE,FALSE,16-06-2021 02:48
Starcle,com.zippy.games.starcle,Puzzle,4.5,4463,"500,000+",500000,501457,TRUE,0,USD,Varies with device,Varies with device,Mile Tamás,http://www.sntapps.com/starcle,info@sntapps.com,"Jan 10, 2015","Nov 08, 2018",Everyone,http://sntapps.com/starcle/privacy_policy.html,TRUE,FALSE,FALSE,16-06-2021 02:48
How to Start a Presentation,howto.starta.presentation.fd,Education,0,0,100+,100,150,TRUE,0,USD,11M,4.4 and up,The Future Dev,https://justwomens.info/,kepandaiankelengkapan@gmail.com,"Jan 25, 2020","Jan 25, 2020",Everyone 10+,https://justwomens.info/content/PrivacyPolicy/,TRUE,FALSE,FALSE,16-06-2021 02:48
Milka.lab,com.arnica.network1233,Beauty,0,0,50+,50,86,TRUE,0,USD,5.8M,5.1 and up,Alliance IT Technology,,app@arnica.pro,"Jan 13, 2020","Oct 19, 2020",Everyone,https://arnica.pro/agreement,FALSE,FALSE,FALSE,16-06-2021 02:48
SYMMETRY Space Survival,com.imgn.pro.symmetry,Strategy,4,1022,"10,000+",10000,45945,TRUE,0,USD,67M,5.0 and up,IMGN.PRO,http://www.imgn.pro,support@imgn.pro,"Nov 19, 2018","Apr 25, 2019",Teen,https://imgn.pro/symmetry-space-survival-privacy-policy/,TRUE,TRUE,FALSE,16-06-2021 02:48
wxyr The Star,com.wxyr.player,Music & Audio,0,0,5+,5,8,TRUE,0,USD,2.1M,6.0 and up,wxyr the star,http://www.wxyr.org,wxyr1045@gmail.com,"Feb 24, 2016","Dec 12, 2019",Everyone,http://securenetsystems.net/mobileapp/app_privacy.html,TRUE,FALSE,FALSE,16-06-2021 02:48
Free - magic trick Paint Prediction,com.magicsplitter.paintprediction,Entertainment,3.9,377,"10,000+",10000,15063,TRUE,0,USD,33M,2.3 and up,Magic-splitter,https://magicsplitter.com/,magic.splitter.app@gmail.com,"Oct 5, 2017","Apr 29, 2018",Everyone,https://splitter77.wixsite.com/magicsplitterapp/privacy-politic,TRUE,FALSE,FALSE,16-06-2021 02:48
AirSort: Create your own organized canvas,com.nero.starx.airsort,Productivity,0,0,10+,10,28,TRUE,0,USD,5.4M,7.0 and up,Nerostarx,https://www.nerostarx.tech,kechaoui.haroune@gmail.com,"Nov 21, 2020","Jan 09, 2021",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:48
1000 first date questions,date.questions,Dating,0,0,"1,000+",1000,1771,TRUE,0,USD,13M,5.1 and up,Mark2018,,mark3dprojects@gmail.com,"Jun 10, 2019","Jun 10, 2019",Teen,,TRUE,FALSE,FALSE,16-06-2021 02:48
AMT Verona,com.jointag.amt,Tools,1.4,5,"5,000+",5000,5487,TRUE,0,USD,47M,5.0 and up,Jointag,https://www.amt.it,marketing@amt.it,"Aug 9, 2018","Aug 30, 2019",Everyone,http://www.amt.it/privacy,FALSE,FALSE,FALSE,16-06-2021 02:48
Canciones Infantiles 2 La Vaca Lola™ : Offline,com.toy.cantando,Entertainment,4,2578,"1,000,000+",1000000,1516336,TRUE,0,USD,5.2M,4.1 and up,Canciones Infantiles Toycantando,http://www.toycantando.com,socialmediatoycantando@gmail.com,"Sep 2, 2016","Oct 07, 2020",Everyone,https://toycantando.com/politica-privacidad/,TRUE,FALSE,FALSE,16-06-2021 02:48
Emisoras de Sonora,emisoras.desonora,Music & Audio,0,0,50+,50,54,TRUE,0,USD,6.1M,4.0.3 and up,Hermann Estrada,,hermann.estrada@hotmail.com,"Nov 22, 2018","Apr 11, 2021",Everyone,http://www.e-droid.net/privacy.php?ida=469953&idl=en,TRUE,FALSE,FALSE,16-06-2021 02:48
وصفات العناية بالشعر وتطويله,com.DEVBNIAICH.wasafat.tatwil.hair.mojraba,Beauty,0,0,"1,000+",1000,2071,TRUE,0,USD,8.1M,4.1 and up,DEVBNIAICH,https://devbniaich.blogspot.com,apps.devbniaich@gmail.com,"Aug 15, 2019","Dec 18, 2020",Everyone,https://sites.google.com/view/DevBniAich-privacy-policy,TRUE,FALSE,FALSE,16-06-2021 02:48
Psalm 83,com.appscroy.psalm83,Books & Reference,0,0,10+,10,10,TRUE,0,USD,11M,4.0.3 and up,Super Aplicativos,http://softcroy.ga/,appscroy@gmail.com,"Apr 6, 2020","Apr 07, 2020",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:48
The Assembly,com.lifechurch.assembly,Personalization,0,0,10+,10,10,TRUE,0,USD,150k,4.0 and up,Diplomat Group Inc.,http://www.diplomat.co.ke,info@diplomat.co.ke,"Jan 26, 2020","Jan 26, 2020",Teen,,FALSE,FALSE,FALSE,16-06-2021 02:48
A Ray of Hope Adventist Radio,com.app.rayofhoperad,Entertainment,0,0,10+,10,37,TRUE,0,USD,6.0M,4.1 and up,My Radio Pal,,apps@citrus3.com,"Feb 22, 2021","Feb 22, 2021",Everyone,https://citrus3.com/privacypolicy.htm,FALSE,FALSE,FALSE,16-06-2021 02:48
Happy Christmas Card,com.qrcreativestudio.happychristmascard,Photography,4.1,10,500+,500,815,TRUE,0,USD,11M,4.0.3 and up,QR CREATIVE STUDIO,https://b216db3af.app-ads-txt.com,antomxox@gmail.com,"Oct 25, 2014","Jul 24, 2019",Everyone,http://www.appsflex.com.my/google/Happy%20Christmas%20Card.html,TRUE,FALSE,FALSE,16-06-2021 02:48
Cadena Radial  Boston,com.radio.cadenaradial,Music & Audio,4.8,52,"1,000+",1000,2362,TRUE,0,USD,7.5M,4.1 and up,Orlan,http://www.cadenaradialboston.com,info@cadenaradialboston.com,"May 8, 2015","Jun 08, 2021",Everyone,https://www.apps-admin2.com/radio/cadenaradial/administrator/parser3ds/acommon/privacy_policy.php,TRUE,FALSE,FALSE,16-06-2021 02:48
Dot Heroes,com.mrgames.dotherofree,Action,4.1,13617,"100,000+",100000,478358,TRUE,0,USD,42M,4.1 and up,Studio EZ,http://www.studioez.net/,admin@studioez.net,"Jul 27, 2015","Aug 02, 2019",Everyone 10+,http://www.studioez.net/privacy/,TRUE,TRUE,FALSE,16-06-2021 02:48
Business Royale,com.businessroyale,Education,0,0,"1,000+",1000,1343,TRUE,0,USD,49M,5.0 and up,ØPP,https://www.linkedin.com/company-beta/10953230/,dominique@opp.mx,"Oct 24, 2019","May 07, 2021",Everyone,https://www.opp.mx,FALSE,FALSE,FALSE,16-06-2021 02:48
Debtination,com.debtination,Finance,0,0,10+,10,37,TRUE,0,USD,26M,5.0 and up,debtination,,debtnationgame@gmail.com,"Jul 8, 2020","Oct 27, 2020",Everyone,http://debtination.demo.digiprojects.top:81/policy.html,TRUE,TRUE,FALSE,16-06-2021 02:48
Mizaan U Surf میزان الصرف,com.symilars.m_surf,Books & Reference,4.7,14,"5,000+",5000,5978,TRUE,0,USD,22M,4.1 and up,Symilars Official,,symilarsofficial@gmail.com,"Jul 2, 2020","Mar 03, 2021",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:48
Avoid and Fly,com.team478.avoid.fly,Adventure,0,0,1+,1,1,TRUE,0,USD,21M,4.1 and up,sumisumic99,,sumiken0909@gmail.com,"Sep 8, 2020","Sep 09, 2020",Everyone,,TRUE,FALSE,FALSE,16-06-2021 02:48
Milemont Bed Control,com.richmat.milemont,Personalization,0,0,10+,10,33,TRUE,0,USD,24M,5.0 and up,Qingdao Richmat Intelligence Technology Inc,http://www.richmat.com,910055678@qq.com,"Sep 22, 2020","Oct 26, 2020",Everyone,http://www.richmat.com,FALSE,FALSE,FALSE,16-06-2021 02:48
Sebioba Royal TV,com.gonative_app.sebiobaroyaltv,Entertainment,4.3,44,"10,000+",10000,10007,TRUE,0,USD,2.3M,4.0 and up,Ab Raymond,,soyinkaakin@gmail.com,"Dec 4, 2020","Dec 04, 2020",Everyone,https://sebioba-royal-tv.flycricket.io/privacy.html,FALSE,FALSE,FALSE,16-06-2021 02:48
Free Funny Videos for WhatsApp,free.funny.video,Entertainment,3.9,89,"10,000+",10000,40572,TRUE,0,USD,13M,4.4 and up,FreebiesApp,,acimeda@gmail.com,"Oct 16, 2019","Feb 06, 2021",Everyone,http://www.e-droid.net/privacy.php?ida=561536&idl=en,TRUE,FALSE,FALSE,16-06-2021 02:48
RADIO MAR FM BOLIVIA - Oficial,com.misterserviciosprofesionales.radiomarfmbolivia,Music & Audio,0,0,"1,000+",1000,2174,TRUE,0,USD,12M,4.2 and up,Mister Servi Pro,https://radiomarfmbolivia.com,mistercitodj@gmail.com,"Oct 10, 2018","Nov 01, 2020",Everyone,http://misterserviciosprofesionales.com,FALSE,FALSE,FALSE,16-06-2021 02:48
Lives Matter Fitness,com.bhappdevelopment.ericstevens,Health & Fitness,0,0,1+,1,1,TRUE,0,USD,43M,4.1 and up,BH App Development Ltd,,Livesmatterfitness@icloud.com,"Aug 5, 2020","Aug 05, 2020",Everyone,https://www.ptdistinction.com/app_privacy_policy.php?uid=471330,FALSE,FALSE,FALSE,16-06-2021 02:48
Bread & Butter To Go,com.chownow.breadbuttertogo,Food & Drink,0,0,100+,100,315,TRUE,0,USD,17M,5.0 and up,ChowNow,http://www.chownow.com,eng-android@chownow.com,"Oct 4, 2016","Feb 16, 2020",Everyone,http://www.chownow.com/privacy-policy,FALSE,FALSE,FALSE,16-06-2021 02:48
Professional Oud,tr.com.alyaka.alper.professionaloud,Music & Audio,3.4,177,"50,000+",50000,94007,TRUE,0,USD,6.5M,2.3 and up,Alyaka,http://www.alyaka.mobi/,alperkah@gmail.com,"Sep 19, 2018","Sep 22, 2018",Everyone,http://alyaka.mobi/uncategorized/privacy-policy/,TRUE,FALSE,FALSE,16-06-2021 02:48
BLUE MATTE CM12/CM11 THEME,com.b16h22.matteblue,Personalization,4.3,59,"1,000+",1000,2297,FALSE,0.99,USD,Varies with device,Varies with device,Rahul K Dinesh,,b16h22@gmail.com,"Dec 20, 2014","Mar 15, 2015",Everyone,,FALSE,FALSE,FALSE,16-06-2021 02:48
Hot Dawgs,com.TinyPlanet.HotDawg,Casual,5,23,100+,100,120,TRUE,0,USD,13M,4.4 and up,Tiny Planet Games,,TinyPlanetDev@gmail.com,"Apr 6, 2019","Feb 21, 2021",Everyone,https://docs.google.com/document/d/1wKg99F3TYvR9Fa2RSKY8M44z7j9bh7WY48U5sk376BI/edit?usp=sharing,TRUE,FALSE,FALSE,16-06-2021 02:48
The Roots Community,io.pushpay.theroots,Lifestyle,0,0,100+,100,212,TRUE,0,USD,63M,5.0 and up,The Roots Community Church,http://www.therootscommunity.com,therootscommunitychurch@gmail.com,"Nov 21, 2018","May 03, 2021",Everyone,https://pushpay.com/legal-center/privacy/,FALSE,FALSE,FALSE,16-06-2021 02:48
Puppy Shooter Ball,com.puppy.shooter.ball.merge.pop,Casual,4.3,7666,"100,000+",100000,373062,TRUE,0,USD,98M,5.0 and up,Word Smash DEV,,puppyshooterball@gmail.com,"Aug 20, 2020","Sep 22, 2020",Everyone,https://sites.google.com/view/puppyshooterball-privacy,TRUE,FALSE,FALSE,16-06-2021 02:48
Cambridge Travel Guide,com.etips.cambridge.travel.guide,Travel & Local,0,0,100+,100,250,TRUE,0,USD,60M,4.1 and up,ETIPS INC,http://www.etips.com,contact@etips.com,"May 2, 2017","May 02, 2017",Everyone,https://etips.com/privacy-policy/,FALSE,FALSE,FALSE,16-06-2021 02:48
The Holy Quran,org.alislam.quran,Education,4.7,647,"5,000+",5000,7579,TRUE,0,USD,19M,7.0 and up,Ahmadiyya Muslim Community,https://www.alislam.org/apps,info@alislam.org,"May 27, 2020","May 27, 2020",Everyone,https://www.alislam.org/legal/#privacy,FALSE,FALSE,FALSE,16-06-2021 02:48
CDS Exam 15 Years Solved Previous Papers,cds15yearssolved.weare.com.cdsexamspreviouspaper,Education,3.6,7,"1,000+",1000,1516,TRUE,0,USD,64M,4.0.3 and up,WeAre,,zahraahamedj@gmail.com,"Jan 18, 2020","Jan 19, 2020",Everyone,https://sites.google.com/site/privacyurl/privacy-url,TRUE,FALSE,FALSE,16-06-2021 02:48
